,Commune,Année,Population_nombre-hbt
444,Corsier,2019,2210.0
445,Corsier,2020,2309.0
446,Corsier,2021,2318.0
447,Corsier,2022,2295.0
448,Corsier,2023,2294.0
449,Corsier,2024,2319.0
450,Céligny,2000,624.0
451,Céligny,2001,637.0
452,Céligny,2002,638.0
453,Céligny,2003,641.0
454,Céligny,2004,655.0
455,Céligny,2005,660.0
456,Céligny,2006,640.0
457,Céligny,2007,630.0
458,Céligny,2008,645.0
459,Céligny,2009,670.0
460,Céligny,2010,667.0
461,Céligny,2011,659.0
462,Céligny,2012,632.0
463,Céligny,2013,663.0
464,Céligny,2014,691.0
465,Céligny,2015,690.0
466,Céligny,2016,769.0
467,Céligny,2017,793.0
468,Céligny,2018,811.0
469,Céligny,2019,805.0
470,Céligny,2020,797.0
471,Céligny,2021,828.0
472,Céligny,2022,860.0
473,Céligny,2023,877.0
474,Céligny,2024,870.0
475,Dardagny,2000,1296.0
476,Dardagny,2001,1298.0
477,Dardagny,2002,1287.0
478,Dardagny,2003,1316.0
479,Dardagny,2004,1284.0
480,Dardagny,2005,1325.0
481,Dardagny,2006,1292.0
482,Dardagny,2007,1297.0
483,Dardagny,2008,1325.0
484,Dardagny,2009,1335.0
485,Dardagny,2010,1472.0
486,Dardagny,2011,1520.0
487,Dardagny,2012,1515.0
488,Dardagny,2013,1521.0
489,Dardagny,2014,1543.0
490,Dardagny,2015,1549.0
491,Dardagny,2016,1793.0
492,Dardagny,2017,1876.0
493,Dardagny,2018,1878.0
494,Dardagny,2019,1880.0
495,Dardagny,2020,1868.0
496,Dardagny,2021,1871.0
497,Dardagny,2022,1864.0
498,Dardagny,2023,1869.0
499,Dardagny,2024,1845.0
500,Genthod,2000,2211.0
501,Genthod,2001,2272.0
502,Genthod,2002,2288.0
503,Genthod,2003,2393.0
504,Genthod,2004,2507.0
505,Genthod,2005,2635.0
506,Genthod,2006,2672.0
507,Genthod,2007,2709.0
508,Genthod,2008,2753.0
509,Genthod,2009,2741.0
510,Genthod,2010,2762.0
511,Genthod,2011,2777.0
512,Genthod,2012,2709.0
513,Genthod,2013,2740.0
514,Genthod,2014,2776.0
515,Genthod,2015,2773.0
516,Genthod,2016,2760.0
517,Genthod,2017,2794.0
518,Genthod,2018,2823.0
519,Genthod,2019,2854.0
520,Genthod,2020,2885.0
521,Genthod,2021,2878.0
522,Genthod,2022,2892.0
523,Genthod,2023,2887.0
524,Genthod,2024,2852.0
525,Genève,2000,177692.0
526,Genève,2001,180658.0
527,Genève,2002,182560.0
528,Genève,2003,184758.0
529,Genève,2004,185526.0
530,Genève,2005,185028.0
531,Genève,2006,185893.0
532,Genève,2007,185726.0
533,Genève,2008,188068.0
534,Genève,2009,189313.0
535,Genève,2010,191360.0
536,Genève,2011,191964.0
537,Genève,2012,193150.0
538,Genève,2013,194159.0
539,Genève,2014,197376.0
540,Genève,2015,201164.0
541,Genève,2016,201105.0
542,Genève,2017,202428.0
543,Genève,2018,203113.0
544,Genève,2019,205372.0
545,Genève,2020,205007.0
546,Genève,2021,204784.0
547,Genève,2022,204946.0
548,Genève,2023,205839.0
549,Genève,2024,208059.0
550,Grand-Saconnex,2000,8348.0
551,Grand-Saconnex,2001,8507.0
552,Grand-Saconnex,2002,8571.0
553,Grand-Saconnex,2003,8648.0
554,Grand-Saconnex,2004,9025.0
555,Grand-Saconnex,2005,9879.0
556,Grand-Saconnex,2006,10402.0
557,Grand-Saconnex,2007,10607.0
558,Grand-Saconnex,2008,10785.0
559,Grand-Saconnex,2009,11140.0
560,Grand-Saconnex,2010,11668.0
561,Grand-Saconnex,2011,11866.0
562,Grand-Saconnex,2012,11911.0
563,Grand-Saconnex,2013,11991.0
564,Grand-Saconnex,2014,12061.0
565,Grand-Saconnex,2015,12171.0
566,Grand-Saconnex,2016,12153.0
567,Grand-Saconnex,2017,11982.0
568,Grand-Saconnex,2018,12080.0
569,Grand-Saconnex,2019,12267.0
570,Grand-Saconnex,2020,12394.0
571,Grand-Saconnex,2021,12317.0
572,Grand-Saconnex,2022,12309.0
573,Grand-Saconnex,2023,12827.0
574,Grand-Saconnex,2024,12971.0
575,Gy,2000,367.0
576,Gy,2001,374.0
577,Gy,2002,386.0
578,Gy,2003,405.0
579,Gy,2004,393.0
580,Gy,2005,394.0
581,Gy,2006,401.0
582,Gy,2007,413.0
583,Gy,2008,411.0
584,Gy,2009,418.0
585,Gy,2010,445.0
586,Gy,2011,483.0
587,Gy,2012,478.0
588,Gy,2013,498.0
589,Gy,2014,501.0
590,Gy,2015,511.0
591,Gy,2016,488.0
592,Gy,2017,485.0
593,Gy,2018,483.0
594,Gy,2019,488.0
595,Gy,2020,478.0
596,Gy,2021,478.0
597,Gy,2022,507.0
598,Gy,2023,553.0
599,Gy,2024,552.0
600,Hermance,2000,818.0
601,Hermance,2001,812.0
602,Hermance,2002,839.0
603,Hermance,2003,854.0
604,Hermance,2004,889.0
605,Hermance,2005,902.0
606,Hermance,2006,900.0
607,Hermance,2007,901.0
608,Hermance,2008,908.0
609,Hermance,2009,914.0
610,Hermance,2010,934.0
