,Commune,Année,Nombre_de_logements
547,Presinge,2012,18.0
548,Presinge,2013,18.0
549,Presinge,2014,18.0
550,Presinge,2015,
551,Presinge,2016,
552,Presinge,2017,
553,Presinge,2018,
554,Presinge,2019,
555,Presinge,2020,
556,Presinge,2021,
557,Presinge,2022,
558,Presinge,2023,
559,Presinge,2024,
560,Puplinge,2009,
561,Puplinge,2010,
562,Puplinge,2011,
563,Puplinge,2012,
564,Puplinge,2013,
565,Puplinge,2014,
566,Puplinge,2015,
567,Puplinge,2016,112.0
568,Puplinge,2017,112.0
569,Puplinge,2018,112.0
570,Puplinge,2019,112.0
571,Puplinge,2020,112.0
572,Puplinge,2021,112.0
573,Puplinge,2022,126.0
574,Puplinge,2023,126.0
575,Puplinge,2024,126.0
576,Russin,2009,14.0
577,Russin,2010,14.0
578,Russin,2011,14.0
579,Russin,2012,14.0
580,Russin,2013,14.0
581,Russin,2014,14.0
582,Russin,2015,14.0
583,Russin,2016,14.0
584,Russin,2017,14.0
585,Russin,2018,14.0
586,Russin,2019,14.0
587,Russin,2020,14.0
588,Russin,2021,14.0
589,Russin,2022,14.0
590,Russin,2023,13.0
591,Russin,2024,
592,Satigny,2009,65.0
593,Satigny,2010,97.0
594,Satigny,2011,97.0
595,Satigny,2012,97.0
596,Satigny,2013,125.0
597,Satigny,2014,124.0
598,Satigny,2015,125.0
599,Satigny,2016,125.0
600,Satigny,2017,125.0
601,Satigny,2018,125.0
602,Satigny,2019,161.0
603,Satigny,2020,161.0
604,Satigny,2021,161.0
605,Satigny,2022,173.0
606,Satigny,2023,173.0
607,Satigny,2024,147.0
608,Soral,2009,12.0
609,Soral,2010,12.0
610,Soral,2011,12.0
611,Soral,2012,12.0
612,Soral,2013,
613,Soral,2014,
614,Soral,2015,
615,Soral,2016,
616,Soral,2017,8.0
617,Soral,2018,8.0
618,Soral,2019,8.0
619,Soral,2020,8.0
620,Soral,2021,8.0
621,Soral,2022,8.0
622,Soral,2023,8.0
623,Soral,2024,8.0
624,Thônex,2009,991.0
625,Thônex,2010,629.0
626,Thônex,2011,629.0
627,Thônex,2012,542.0
628,Thônex,2013,711.0
629,Thônex,2014,723.0
630,Thônex,2015,722.0
631,Thônex,2016,735.0
632,Thônex,2017,705.0
633,Thônex,2018,705.0
634,Thônex,2019,713.0
635,Thônex,2020,712.0
636,Thônex,2021,976.0
637,Thônex,2022,911.0
638,Thônex,2023,911.0
639,Thônex,2024,979.0
640,Troinex,2009,106.0
641,Troinex,2010,106.0
642,Troinex,2011,106.0
643,Troinex,2012,106.0
644,Troinex,2013,106.0
645,Troinex,2014,106.0
646,Troinex,2015,106.0
647,Troinex,2016,106.0
648,Troinex,2017,72.0
649,Troinex,2018,72.0
650,Troinex,2019,71.0
651,Troinex,2020,71.0
652,Troinex,2021,71.0
653,Troinex,2022,71.0
654,Troinex,2023,71.0
655,Troinex,2024,88.0
656,Vandoeuvres,2009,
657,Vandoeuvres,2010,
658,Vandoeuvres,2011,
659,Vandoeuvres,2012,
660,Vandoeuvres,2013,
661,Vandoeuvres,2014,
662,Vandoeuvres,2015,
663,Vandoeuvres,2016,
664,Vandoeuvres,2017,
665,Vandoeuvres,2018,
666,Vandoeuvres,2019,
667,Vandoeuvres,2020,
668,Vandoeuvres,2021,
669,Vandoeuvres,2022,
670,Vandoeuvres,2023,
671,Vandoeuvres,2024,
672,Vernier,2009,2708.0
673,Vernier,2010,2680.0
674,Vernier,2011,2659.0
675,Vernier,2012,2829.0
676,Vernier,2013,2732.0
677,Vernier,2014,2782.0
678,Vernier,2015,2722.0
679,Vernier,2016,2586.0
680,Vernier,2017,2371.0
681,Vernier,2018,2374.0
682,Vernier,2019,2431.0
683,Vernier,2020,2365.0
684,Vernier,2021,2716.0
685,Vernier,2022,2716.0
686,Vernier,2023,2880.0
687,Vernier,2024,2786.0
688,Versoix,2009,1014.0
689,Versoix,2010,965.0
690,Versoix,2011,894.0
691,Versoix,2012,894.0
692,Versoix,2013,833.0
693,Versoix,2014,832.0
694,Versoix,2015,813.0
695,Versoix,2016,813.0
696,Versoix,2017,767.0
697,Versoix,2018,785.0
698,Versoix,2019,786.0
699,Versoix,2020,786.0
700,Versoix,2021,786.0
701,Versoix,2022,786.0
702,Versoix,2023,808.0
703,Versoix,2024,808.0
704,Veyrier,2009,110.0
705,Veyrier,2010,110.0
706,Veyrier,2011,110.0
707,Veyrier,2012,119.0
708,Veyrier,2013,80.0
709,Veyrier,2014,80.0
710,Veyrier,2015,80.0
711,Veyrier,2016,80.0
712,Veyrier,2017,80.0
713,Veyrier,2018,80.0
714,Veyrier,2019,87.0
715,Veyrier,2020,87.0
716,Veyrier,2021,87.0
717,Veyrier,2022,87.0
718,Veyrier,2023,87.0
719,Veyrier,2024,87.0
