,Commune,Année,Médiane_couples_mariés,Médiane_celibataire
315,Puplinge,2010,164610.0,55792.0
316,Puplinge,2011,162643.0,55442.0
317,Puplinge,2012,164478.0,52919.0
318,Puplinge,2013,167769.0,55564.0
319,Puplinge,2014,168392.0,56248.0
320,Puplinge,2015,170389.0,60352.0
321,Puplinge,2016,164883.0,59277.0
322,Puplinge,2017,162985.0,59897.0
323,Puplinge,2018,164695.0,61800.0
324,Russin,2010,162204.0,64818.0
325,Russin,2011,159163.0,57168.0
326,Russin,2012,156490.0,55204.0
327,Russin,2013,163057.0,59645.0
328,Russin,2014,162473.0,64198.0
329,Russin,2015,159348.0,65003.0
330,Russin,2016,169203.0,61792.0
331,Russin,2017,165822.0,65279.0
332,Russin,2018,179451.0,67783.0
333,Satigny,2010,157521.0,60246.0
334,Satigny,2011,158461.0,59127.0
335,Satigny,2012,159335.0,56932.0
336,Satigny,2013,165687.0,59844.0
337,Satigny,2014,165121.0,62413.0
338,Satigny,2015,167233.0,60206.0
339,Satigny,2016,168209.0,59810.0
340,Satigny,2017,168254.0,58450.0
341,Satigny,2018,168045.0,58110.0
342,Soral,2010,174630.0,58560.0
343,Soral,2011,177816.0,56975.0
344,Soral,2012,180269.0,61631.0
345,Soral,2013,182973.0,60580.0
346,Soral,2014,182537.0,75772.0
347,Soral,2015,184145.0,74053.0
348,Soral,2016,180272.0,76644.0
349,Soral,2017,170332.0,77266.0
350,Soral,2018,175053.0,72597.0
351,Thônex,2010,129283.0,44531.0
352,Thônex,2011,130033.0,43632.0
353,Thônex,2012,129317.0,43109.0
354,Thônex,2013,131989.0,41843.0
355,Thônex,2014,133038.0,46560.0
356,Thônex,2015,131740.0,46383.0
357,Thônex,2016,133497.0,46862.0
358,Thônex,2017,135005.0,47034.0
359,Thônex,2018,133537.0,47174.0
360,Troinex,2010,182691.0,58806.0
361,Troinex,2011,191916.0,55860.0
362,Troinex,2012,187455.0,50229.0
363,Troinex,2013,193885.0,50425.0
364,Troinex,2014,193693.0,54049.0
365,Troinex,2015,196007.0,50206.0
366,Troinex,2016,192454.0,49940.0
367,Troinex,2017,195704.0,50972.0
368,Troinex,2018,199028.0,51881.0
369,Vandoeuvres,2010,256534.0,37912.0
370,Vandoeuvres,2011,247179.0,42376.0
371,Vandoeuvres,2012,242358.0,41869.0
372,Vandoeuvres,2013,246443.0,43255.0
373,Vandoeuvres,2014,248508.0,43656.0
374,Vandoeuvres,2015,257648.0,41199.0
375,Vandoeuvres,2016,274098.0,42697.0
376,Vandoeuvres,2017,289341.0,44179.0
377,Vandoeuvres,2018,288550.0,45501.0
378,Vernier,2010,101326.0,39483.0
379,Vernier,2011,102895.0,39985.0
380,Vernier,2012,103725.0,38893.0
381,Vernier,2013,103446.0,38612.0
382,Vernier,2014,104477.0,44816.0
383,Vernier,2015,104150.0,44183.0
384,Vernier,2016,104685.0,44133.0
385,Vernier,2017,105269.0,44050.0
386,Vernier,2018,105324.0,44323.0
387,Versoix,2010,122792.0,44702.0
388,Versoix,2011,122021.0,43758.0
389,Versoix,2012,123539.0,41736.0
390,Versoix,2013,123021.0,43200.0
391,Versoix,2014,123557.0,48943.0
392,Versoix,2015,122880.0,49099.0
393,Versoix,2016,123513.0,49840.0
394,Versoix,2017,123173.0,50154.0
395,Versoix,2018,125498.0,49830.0
396,Veyrier,2010,202810.0,43144.0
397,Veyrier,2011,204923.0,42820.0
398,Veyrier,2012,207439.0,41719.0
399,Veyrier,2013,207692.0,42021.0
400,Veyrier,2014,210336.0,51213.0
401,Veyrier,2015,211323.0,52431.0
402,Veyrier,2016,213176.0,53111.0
403,Veyrier,2017,212835.0,52600.0
404,Veyrier,2018,213093.0,52645.0
